"ADM3_PCODE","N","S1","S2","S3"
"190111","35","0","6135","11"
"190113","130","0","0","0"
"190201","0","528","0","0"
"190202","917","4456","23986","333"
"190203","5","0","0","115"
"190204","932","0","8943","702"
"190205","739","20520","0","2422"
"190206","128","8487","9075","2215"
"190207","0","2615","0","0"
"190208","187","3318","9076","32"
"190209","585","4169","0","68"
"190210","0","0","24225","7"
"190211","368","7405","0","925"
"190212","35","0","204","0"
"190213","619","0","17708","976"
"190215","525","0","13807","1243"
"190302","168","0","0","0"
"190305","0","0","2245","0"
"190310","0","0","2246","0"
"190315","0","0","2453","0"
"190318","441","0","0","0"
"190401","113","0","0","0"
"190402","843","0","0","0"
"190403","13","0","5996","0"
"190406","296","0","3433","0"
"190603","0","0","0","12"
"190802","0","96","0","0"
"190901","0","1220","0","0"
"190902","0","6663","0","0"
"190903","78","8576","0","283"
"190904","0","950","0","0"
"190905","275","20320","0","825"
"190906","0","9772","0","0"
"190908","0","1225","0","0"
"190909","0","696","0","0"
"191003","0","1335","29","0"
"191101","231","5200","4973","1052"
"191102","0","2259","3624","0"
"191104","209","6793","14448","292"
"191105","320","13373","6768","3241"
"191107","66","41275","10626","610"
"191109","187","27950","2088","532"
"191201","430","7772","7824","1739"
"191202","151","5191","6788","381"
"191203","141","9933","11818","1620"
"191301","0","1532","0","0"
"191303","16","0","0","0"
"191304","7","5762","0","297"
"191306","111","23341","600","615"
"200105","0","0","187","161"
"200106","200","0","5980","977"
"200107","105","0","68","319"
"200108","160","105","2122","1282"
"200113","34","1828","3000","430"
"200115","287","0","2511","118"
"200118","0","0","130","0"
"200201","43","351","3548","1230"
"200202","1144","152122","38213","1050"
"200203","0","0","603","0"
"200204","52","0","2051","449"
"200205","61","0","780","0"
"200206","0","748","814","39"
"200207","659","45390","21119","2540"
"200208","228","72057","35504","825"
"200301","2766","102592","7564","1775"
"200302","178","80308","961","1560"
"200303","24","199245","26358","1897"
"200304","285","107165","19701","4156"
"200305","128","125927","0","1092"
"200401","50","0","3707","1034"
"200402","139","11478","34921","351"
"200403","13","5471","34415","1973"
"200404","299","40213","43529","3127"
"200405","0","65914","28264","731"
"200406","493","58435","29209","9533"
"200407","484","25573","21018","2951"
"200408","0","1551","365","0"
"200502","0","0","6","0"
"200503","111","0","53","0"
"200505","22","0","100","0"
"200605","1033","4873","0","0"
"200606","975","3127","786","46"
"200607","220","13000","1787","678"
"200610","323","8795","3286","1170"
"200611","0","1273","0","0"
"200613","495","10246","4419","275"
"200614","156","0","94","0"
"200615","165","0","7","0"
"200616","2035","27008","7193","2899"
"200617","1292","11654","1448","311"
"200618","143","0","0","0"
"200622","69","0","0","0"
"200702","391","13019","10006","3038"
"200703","78","8199","3748","67"
